text,time
"유니클로 ABC 마트 진짜 강남 노른자 땅에 매장있어요 
이참에 아예 자국으로 철수시켜야 한다고 봅니다",5년 전
이번에는  끝까지 간다,5년 전
"사이비매체들아. 유니클라
일본맥주 싸구리물건 보도
말고 일본차 렉셔스  카메라
복사기. 방송카메라. 고가품
불매운동보도하거라 기생충이
이들이토착왜구친일잔재다",5년 전
"우리나라 국민들 지금 선택 잘해야됩니다. 이미 늦었을지도 모르겠지만.. 일단 이런 무역 보복의 발단이있습니다. 1965년 당시 일본은 국고의반절 정도의 금액인 3억엔을 우리나라에 배상했습니다. 이때당시 우리정부와의 협상내용중 이 돈을 국가발전과 식민지 당시의피해자
(위안부 강제징용의 피해자분들)분들을 위해서 쓰여졌다고 적혀있습니다.
그리고2000년대 들어서부터 이 협상에 대해 논란이 일어나는 일이 많아지자 노무현 대통령때 ""이는 65년당시 모두 종결된 일이다""라고 작성했고 여기에 현 대통령인 문재인 대통령의 서명도 들어있습니다. 또 노무현 대통령뿐만아닌 역대 대통령 대부분이 배상금에 대한 안건은 이미 원만하게 종결되었다는 입장을발표했습니다.
하지만 이러한 국가적 차원의 오랜 협상과 타협을 현 정부인 문재인 정부가  일본에게 추가적 돈과 사과를 요구하는것과 일본은 더이상 동맹국이 아니라는 발언으로 양국간의 불화를 깨웠습니다. 실제로 역대 일본 총리들대부분이 한국에 식민지지배에관해 공식적  사과발언을 했습니다.또, 전일왕인 아키히토도 한국에대해 우호적 입장과 사과의 뜻을 밝힌 일왕으로 많이 알려져있습니다.
이렇게 수십년간 한국과 일본은 서로협력하며  발전한결과 우리나라는 현재g20안에들어가는 강국이 되었습니다.물론 이러한점이 미국과 우리나라의 노력으로도 이루어진것이겠지만, 세계에서5손가락 안에드는 일본의 이웃나라로서의 이익도 상당한부분 차지하고있습니다.
이글을 보고계신 여러분이 봐도 이상하지않나요? 그동안 잘지내왔고 서로 협력하던 사이가 수십년만에 부당한 요구로 깨지게 되었다는 것이 말입니다. 일본입장에서 생각하면 어이가 없는 상황일수있습니다. 우리나라가 일방적으로  양국간의 협상을 깨버렸으니요. 반대로 말하면 일본도 우리나라와 맺었던 한국에 유리한 협상,협정내용을 자신들의 전 정부의 실수라는 명분으로 일방적으로 깨버려도 우리는 거기에 대해 아무말도 할수없습니다.
다음으로는 현재사태의 심각성입니다.
앞서  말씀드렸던 일에 대해 일본은 그동안 아시아에서 오직한국에게만 주던 무역혜택을 다시 가져가는것으로 보복을 했습니다. 그렇습니다. 아베의 맘이 상한것이죠. (아닐수도있습니다)
이 보복으로 인해 우리나라의 대표기업인 삼성이 가장 많은 타격을 입었습니다. 그날 바로 일본행 비행기 타서 발품판것을 본다면 조금의 타격은 아니었을것 같습니다. 하지만 이재용이 그렇게 발품을 팔았는데도 임시로 3달치 양 밖에 확보하지 못했습니다.
여러분 생각해보세요. 한국에서 외화를 가장 압도적으로 많이 벌어들여오는 기업이 삼성입니다. 이들의 주요 수출품 은 반도체이죠. 하지만 현정부와의 갈등에서 삼성뿐만이 피해를입은건아닙니다. 삼성이 그동안 들여오던 막대한 수익과 외화가 이젠 절반 아니 어쩌면 더이상의 수익도 벌어들이지못할수도있습니다. 여기서 피해를 보는것은 누구일까요. 삼성은 우리나라 경제의절반가까이를 책임지고있는 기업입니다. 그 기업이수출을 중지한다면? 우리 국민이 피해를보는것입니다. 제2의 IMF가올수도있는 사태이죠. 하지만 현재 문재인 대통령과 정부는 기업들에게 ""반도체보다는 K푸드(김치 깻잎 불고기 비빔밥등)를 적극 수출해라"" , ""자가적 발전을 해라""등등 아무런 해결책없이 나몰라라했습니다.거기다 8개월뒤의 총선을 위한 반일운동을 주도하고있습니다. 여러분 반일 운동이 불법은 아닙니다. 하지만 정말이게 우리를 위한 운동일까요? 우리나라 국민들은 반일 불매운동으로 대표적으로 3가지를 언급하고있습니다.
1. 일본 제품을 사지않는다
2. 일본관광을 가지않는다.
3. 2020년 올림픽 보이콧을한다.
일단 첫번째로 일제를 사지 않는것이 얼마나 우리나라에게 손해인지 생각해보세요. 일단 현재 일본은 나라 경제의95퍼센트가  제조업으로의 수출일정도로 질좋은 물건을 만듭니다. 실제로 우리도 일제의 필기도구, 미용용품, 게임기, 엠피쓰리, 카메라등등을 구매하고있습니다. 또, 일본은 세계적으로 여러나라들에게 수출을하면서  막대한 수익을 낸다고합니다. 바로옆나라인 한국이 수출의 2%밖에 되지 않는다는것을본다면 말이죠.
하지만 우리는 이제부터 반일 불매운동으로인해 이런 세계적으로 인정받고 다른 여러나라 사람들이 쓰는것들 대신 중국제 샤프, 중국제 핸드폰,중국제 카메라등을 사용해야합니다.이것이 얼마나21세기 글로벌 시대에 있을수 없는일이지 아시나요? 글로벌시대에는 한나라가 혼자서 자급자족할수없습니다. 여러나라가 함께 무역하고 수출 수입하면서 자기나라 경제를 발전시키는 형타입니다. 대표적으로 미국과 독일, 일본이 그런 흐름을 잘 읽어서현재 강대국에 올랐습니다.
저는 지금 친일주의적 으로 일본을 옹호하는것이 아닙니다. 이러한 반일운동으로인해 우리가 다른나라보다 경제성장 뒤처지고 남들다쓰는 좋은 물건들 우리나라만  못 쓰는게 너무 안타깝습니다. 정말로 일본에게 복수하고 싶은 마음이라면 일본을 이용해서 우리가 일본보다 더잘나고 더 잘사는 나라가되어서 코를꺾는 일이라고생각합니다. 이래서는 우리끼리만 피해보는 상황입니다. 일본이 우리나라애 수출하는 것중에 차량이 대다수를 차지하고있는데 일본차량은 우리나라 차량 시장점유율의1%밖에 되지않는다고합니다. 이러한 이유때문에 아베가 한달이 지났는데도 그냥 나두는겁니다. 아베총리가 얼마나 악착스럽고 정치와 외교를 잘하는 기회주의적 인물인지 모르는것도 아닐텐데..일본물건을 사기 위해 일본물건을 불매한다는게 얼마나 모순적인 일인가요?
두번째로 관광을 가지 않는것입니다. 사실이것은 우리나라도 당한 사례가 있습니다. 중국 사드문제때 중국인들이 한국을 대규모로 관광하지않고 한국 물품을 불매하였습니다. 하지만 여기계신 분들중 명동에서 길거리 장사를 하시는 분들을 제외한 여러분은 사는데 혹시 지장이 있으셨나요? 물론 우리나라와 일본은 다릅니다. 하지만앞서말했듯이 일본은 제조업으로 먹고사는 나라입니다. 관광으로 일본이 벌어드리는 수입은 전체의5%도 되지 않습니다. 우리나라 사람들이 전부 일본 관광을 가지 않는다고해서 과연 그5퍼센트중에 얼마나 타격을 줄까요? 심지어 관광업의 80%가 중국인에의한 수입이라고합니다.또 흔히들 기사같은거보면 일본지방이 한국관광객이 없어서 죽어나가있다고하는데...  상식적으로 우리가 일본을갈때 주로 어딜가나요? 저~기 농촌 마을을 가나요? 전부 도쿄, 오사카, 큐슈, 삿포로, 오키나와를 가지.. 또, 만약 지방에정말로 한국관광객이 가지 않아서 피해를 봤다고해도, 일본은 인프라가 우리나라에 비해서 월등히 신경을 쓰는 부분입니다. 그지역 상인들이 굶어 죽어갈일은 없어요..
오히려 우리나라 항공사들만 죽어나가지. 항공사 직원들은 뭔죕니까..
3번째 올림픽 보이콧입니다.이건 솔직히 너무 갔다고 생각합니다. 본인들은 상관없을지 몰라도  4년간 열심히 준비한 우리나라 선수들 노력은 어떻게 책임지실건가요? 자신들의 노력을 여론과 국민들의 옳지 못한애국심에 묻히는 현실을 어떻게 받아드리라고 말할수있나요? 선수들 인생 책임질것도 아닌데 그들에게 올림픽 보이콧 하라는 것은 자제하는것이 좋을듯 싶습니다. 또, 헌재 세계적으로 우리나라 불매운동의 평판은 좋지않습니다. 사드때 중국을 비라보는 시선으로 우리나라를 바라보고있습니다.그런데 다른나라선수들에게 보이콧 하라고하면 여러분같으면 하겠습니까?
저는 대한민국에 살고있습니다. 그러므로 당연히 대한민국이 잘사는 나라가 되었으면 좋겠습니다. 그래야 저도 잘살고 제 친구도 잘살고 제 가족도 잘살고 제이웃도 잘살테니까요.
우리는 지금 잘 선택해야합니다. 우리나라가 잘살려면 감정싸움이 먼저일까, 일본에게 이빨을 숨기며 위로 올라가는가. 일본에게 고개를 숙이는것은 쪽팔린게 아닙니다. 밟고 올라가기 위한 전술입니다.",5년 전
우리나라사드배치한다할때 중국에서 중국인들 한국관광 금지시킬때 우리나라 관심없어하고 오히려 시끄러운중국인없어서 좋아했지? 요즘 우리나라가 위안부문제로 일본 불매운동한다하고 여행안간다고하잖아? 걔네들한테 과연 큰 타격이 있을까? 그렇게 일본인들이 신경쓸까? 아니 ㅈ도안써 그냥 애국심으로 조용히 불매운동하면 되는거야 몇몇 유튜버 ㅂㅅ들이 이때가 기회다싶어 조회수빨라고 일본은 한국때매 큰 위기에 봉착을했다니 관광객이 줄어서 타격을입었다니 ㄹㅇ나도 불매운동하는사람인데 개오바떨어대면서 정신승리좀 그만했으면 좋겠음 그리고 몇몇 미친새끼들 sns에 일본태그 쳐걸고 일본놀러간거 자랑스럽게 올리는거보면 ㅈㄴ한심함 개인의자유니까 신경쓰지마라?? 그자유가 어떻게이뤄진건데? 분명 일본여행 갈수있지 가지말라고 강요하는건 아니야 근데 요새시국이 이러면 조용히갔다오면 될 것을 굳이 인스타충 시발ㅂㅅ들이 감성살리고싶고 어떻게든 지놀러간거 자랑하고싶으니까 미친년놈처럼 개발악떨고쳐올린다는거 그게문제여 진짜 무뇌충들 어떻게해야될까??,5년 전
"옷가지, 맥주 보다는 더 많은 이윤을 얻는제품 일본 자동차, 일본 여행, 높은 단가가 있는 것이 무었일까요, 시급한 것은 국산화 를 빨리빨리 서둘러서 일자리창출, 원가절감, 토착왜구들 박멸..시간이 얼마 남지 않았습니다.......",5년 전
우리도 일본으로 빠져나가는돈 막아보자 자국에서 돈이 돌아야 시장경제도 더 좋아진다 일본숙박업소나 시장상인들 불쌍하게 보지말자 저것들 뒤에선 아베찍는다 이제 좀 속지 말자 응슷응 그리고 히오스 하자 갓겜이다 시공의 폭풍은 정말 대단해,5년 전
유니클로 미친대표자 말한마디에 직장 잃었네 근데 니가 불매운동 불씨를 키운건 알제????,5년 전
홧팅!,5년 전
"롯데를 털어야함...국내 일본 브랜드 다 롯데를 통해서 들어오고 입점도 다 롯데백화점,아울렛에 있음 ...그리고 롯데 계열사 거의 대부분 일본 자본으로 설립되서 수익금 다 일본으로 가져감...",5년 전
