text,time
내가볼땐.자기손으로 자기무덤을 파고 들어간듯..,6개월 전
"민희진한테 못된것만배워가지고는 ㅉㅉ 무조건  기자회견ㅋㅋㅋㅋ
여론전대박 
민지는 그분껜할말없습니다 라고하면서 개꼴깝 ㅋㅋㅋ",6개월 전
뉴진스가 아니더라도 이미 우리에겐 대단한 소녀들❤️,6개월 전
기자들은 항상 수준 미달의 질문만 하네..,6개월 전
헐 거짓말ㅠㅠ 뉴진스해지라니,6개월 전
광고주가 뉴진스를 계약해지하지않는 이유는?🤭댓글알바들은 잘모르겠지 ㅋㅋ,6개월 전
"하이브&어도어가잘못했다
우리는계약해지하겟다
소송은하지않아도된다   ????
과연 계약해지를 하이브&어도어가  가만히있을까
연예계생활끝날지도",6개월 전
벌레들 많네 싸패토끼단,6개월 전
에고. 잘가라! 안타깝네요.  부모들은 뭐 하냐?,6개월 전
힘내 뉴진스!!!!!!!!!!!!!!!!,6개월 전
힘내 뉴진스🩵🩵🩵,6개월 전
"방시혁, 4000억 따로 챙겼다…드러난 '하이브' 상장의 비밀.4년 전 하이브 상장의 비밀사모펀드와 주주 간 계약 맺고 투자 차익 30% 가량 받아IPO과정서 공개 안해",6개월 전
"흔한애들 모아다가 키워 줬더니  ~~배신을 하네   ,지들이 역사상 가장 피해를 본 아이돌이라고하네  ㅋㅋ",6개월 전
버니즈인데 이 기자회견을 보고 참담해 하지않는다는거 실화임? 아무 근거없이 잘못이 어도어한테 있으니 전속계약 해지라는 말만 반복하고 우길꺼면 입장발표만 하지 기자질문은 왜 받음ㅠ 아무것도 몰라요 어떤 대책도 없어요 다 모르겠고 어도어가 잘못했으니까 전속계약 해지고 뉴진스 이름도 내꺼에요;; 뒤에선 법률자문 제대로 받고 차근차근 대응할 만반의 준비하고 있으면서 모지라고 순진해보이는게 이번 기자회견 목표였다면  성공적이긴 함  민희진 첫 가처분 인용때 하이브에 배신일지라도 어도어에 배임은 아니라는 판결보고 비꼬고 신나하던 분들이 이제와서 하이브랑 어도어가 한몸이라고 감정적으로 우기는거 넘나 코미디ㅋㅋㅋ 어도어에서 민희진이 최선을 다해 최고의 케어를 해준거 아님?  계약 위반을 했다니 민희진 저격이야 뭐야,6개월 전
뉴진스 절대이겨❤,6개월 전
뉴진스 화이팅 꼭 이기자🔥🔥,6개월 전
"“뉴진스 가스라이팅 당했다”, ”기자님 포섭해야겠다“, “골프접대” 운운하는 곳에 뉴진스가 있을 이유가 없잖아? 반년간 하이브에 의해 쳐 맞기만 했는데 뉴진스 버리고 새 판 짜겠다며? 그럼 버려",6개월 전(수정됨)
와 뉴프티 전속계약 4~5년만 참으면 되는데 그걸 못참고 위약금 6천억 걸고 끝까지 싸우자네. 진짜 진상짓하는게 배신자 민두광이랑 똑같다. 니네가 다 옳고 니네가 다 판결하면 판사도 필요없네. 법대로 하면 어떻게 되는 한번 봅시다. 하이브도 끝까지 싸워서 본때를 보여주길!,6개월 전
"지금 상황과 전혀 다른말을 길게도 써서 이게 지금 잠꼬대 인가 싶네요.  사실만 적으세요, 소설말고,",6개월 전
응 과즙육즙,6개월 전
오늘 주가 갭으로 떨어지던데 그 충성심으로 더 사라 ㅋㅋㅋㅋ 하마스 꼴좋다,6개월 전
"If I have a daughter, I want her to be courageous like them. Speak up when mistreated and leave when it’s time.",6개월 전
하이브와 어도어의 알바들과 빨아대는 기레기들 OUT!,6개월 전
"진실과 정의는 승리한다!
갑질과 횡포와 비열함은 끝은 파멸일뿐!
뉴진스 포에버❤",6개월 전
"트럼프한테 배웟엉 
막무가내
막가파!!!!!!
기자가 말한거처럼
희망사항입니다
이래야지
0시를 기해 해지한다고!! ㅋㅋㅋㅋㅋㅋㅋ 막가파식임.. 인사열심히 해라!!!",6개월 전
뉴진스 화이팅!,6개월 전
아직 사회를 잘 모르는 구나..,6개월 전
탈덕수용소 하이브 계약해지!!!!!!! 네버다이~~~뉴진스 화이링!!!!!!!!!!,6개월 전
세상이 지들 마음대로 되는줄 아나부네 ㅋㅋㅋㅋㅋㅋㅋㅋ 계약이 해지하고 마음대로 해지해도 되는거여??,6개월 전
대단한 일. 잘하세요.,6개월 전
"실적폄하 녹취, 컴백날 민희진사태 일으킴, 민희진 가처분 승소때 판결문, 하이브 문서에서 뉴 버리고 새판, 그동안하던악플대응미룸, 소속가수들 숏폼 품앗이 끊어서 타소속사랑 겨우함, 애들 신상 무단유출, 정산금액 유출 다 안적음^^ 귀책사유^^",6개월 전
아버지가 밖에나가서 돈들여 키웠는데 이혼하니 결국 엄마 따라가는 엔딩 ㅋ ㅋ ㅋ,6개월 전(수정됨)
"그리고 마지막에 목소리에 빅맥 낀 남자 기자분 뭔가 사람을 이상하게 몰아가는거 다 보임 ㄹㅇ 하이브 찌끌래미인거 너무 티나지 않나? 은근히 논점 흐리고 비슷한 답변 계속 하게 만들고 ㅋㅋㅋ 뉴진스 애들도 이미 눈치채고 대응하는거 ㅋㅋㅋ 애들좀 그만 괴롭혀라 그리고 솔직히 9년차 버디로써 니들이 여자친구를 마녀컨셉으로 해체시키고, 그를 제물로 르세라핌을 데뷔 시켰다는 걸 알았을때 진짜 피눈물 났었는데, 버디이며 버니즈인 입장으로써 여자친구 때의 일이 절대로 반복되질 않길….. 지들 소속 연예인을 왜그렇게 괴롭히는거야….",6개월 전
뉴진스는 하이브를 넘어 섰다.,6개월 전
기자들 머저리인가 계약 계약~ 해지하는게 맞나? 이지랄 질문하는데 포르쉐 차량도 계약하고 쿼터 잡히기 전에 해지 가능하고 생산후 출고 되어도 인도받는 고객이 요구한 사항과 달라지면 돈 지불안하고 차량 인수안해도 된다~ 머저리같은 소리하지말고 계약했다고 목숨걸고 지키야 되고 그런거 아니야~ 불합리하고 내가 받는 대우가 부당하다면 해지하면 된다,6개월 전(수정됨)
뉴진스 이름 이제 못쓰니까. 이제부터 동덕진스로 하자!,6개월 전
"잘 가~ 뉴진스 ㅠ.ㅠ 고마웠어...
안녕...다니엘 마쉬 ㅠ.ㅠ 지혜야~~~~
멀리는 못 나간다;;;",6개월 전
"하이브가 잘하게 없잖아.
대중들도 등돌림 하이브.",6개월 전
정말 뉴진스라는 아티스트들의 고민이 곳곳에 깊이깊이 느껴집니다. 그 누구보다 당사자들의 고심이 얼마나 클지 가늠이 되지 않습니다. 아티스트들이 자유로이 활동에 전념 할 수 있는 선진적인 문화가 만들어지는 좋은 선례 되기를 진심으로 바랍니다.  항상 응원합니다.💕 뉴진스의 모습이 낮설게 느껴지지 않는 모습이 K-POP이 글로벌 음악으로 나아가는 계기가 될것이라 봅니다.,6개월 전
뉴진스 지지하고 응원합니다 😄😁,6개월 전
미친 소리하고있네 다 한통속인거 세상 사람들 다 안다.,6개월 전
(50억을 받으며),6개월 전
 @seagullchungang  I give u $2,6개월 전
 @seagullchungang  I give u 2,6개월 전
"Your father also has two other daughters, and he raised the 3rd daughter to be like you then lock you in the basement.",6개월 전
아빠는 bj랑 노느라 바빠요😂,6개월 전
 @mingxuanfan  but he made me rich,6개월 전
" @userllll10 he made BJ rich, nwjns worked themselves.",6개월 전
돈만 처대준다고 되는게 아니라는거지,6개월 전
돈들여 키우면 폭언해도 되나봄 ㅋㅋ 넌ㄴ 꼭  폭언하는 아빠 따라가라~,6개월 전
접대골프 못 받을까봐 전전긍긍하신듯😂,6개월 전
"행복을 위한 권리를 헌법10조에 우리가 
복리를 두고 자유로 헌법13조에 인권을 
은폐할 경우 누구도 헌법65조의 탄핵에 
성실한 국회 의원이 헌법69조에 올려탄 
적시의 선서 조건에 헌법66조로써 탄핵 
순서가 있는 책무를 헌법10조에서 통합 
인권에 두고 있음을 헌법13조가 행위시 
가능한 법이 '물증'을 요구하도록 하였다.",6개월 전
"과연 너희들이 어도어나 하이브랑 진정 대화하고 싶긴했나?
그냥  하이브에서 하루빨리 벗어나고싶어 발악하는것으로 밖에 안보임",6개월 전
너희가 지금처림 편하게 활동한게 하이브의 뒷배가 있었기 때문이야..,6개월 전
그 댓글 보고 뿜었는데 뉴진스 해지가 내 쿠팡 해지보다 쉽네 라는 글,6개월 전(수정됨)
하이브 댓글 알바들 빡친거보소ㄷㄷㄷ 뉴진스야 하이브 무사탈출 응원한다ㅋㅋㅋ,6개월 전
"지금이야 실실 쳐웃지..
나중에도 꼭 실실 웃을수 있길 빈다.",6개월 전
"12시 넘기고 기자회견 했어야...
너무 성급했다",6개월 전
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6개월 전
